[Tue Jan 12 00:00:00 2016] LOG ROTATION: DAILY
[Tue Jan 12 00:00:00 2016] LOG VERSION: 2.0
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svbusp01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svbusp02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.76 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svldbp03;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.48 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svldbp04;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.43 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svmanp15;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svmanp16;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.41 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svmonh01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.03 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svprlp01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.39 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svprlp02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.41 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwebp18;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.21 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlgp05;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.71 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlgp06;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.41 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlgp07;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.79 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.62 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.39 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip03;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.32 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip04;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.99 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip05;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.90 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip06;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.36 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip07;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: bredt1-svwlip08;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.37 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: intranet-portal;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.20 ms
[Tue Jan 12 00:00:00 2016] CURRENT HOST STATE: sos07win;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 5.01 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;app :: disk usage;WARNING;HARD;3;<b><i>wmax</i></b>:<font size=-5>(/app.usedperc=79%)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;app :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: disk usage;WARNING;HARD;3;<b><i>wmax</i></b>:<font size=-5>(/app.usedperc=79%)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.55 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: netstats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: nrpe;OK;HARD;1;TCP OK - 0,001 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_5.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;so :: vm stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0101;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0102;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0103;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0104;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0105;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0201;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0202;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0203;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0204;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_ms0205;OK;HARD;1;All resources are OK
